ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,sentiment,news_count,lookback_hours,lead_days,days_held,win,streak
GOOGL,2024-01-04 00:00:00+00:00,2024-01-19 00:00:00+00:00,135.43485582733155,145.20964645385743,73.83623616618449,701.0120154259985,7.2173374917517075,hold_period,0.6037583333333334,12,72,3,10,True,1
GOOGL,2024-01-26 00:00:00+00:00,2024-02-09 00:00:00+00:00,151.12423040771483,147.80870333099367,66.63459045829175,-240.84806252486487,-2.193908328119376,hold_period,0.530961111111111,18,72,3,10,False,2
TSLA,2024-02-13 00:00:00+00:00,2024-02-28 00:00:00+00:00,184.11201427459716,201.93897328948975,54.56469766447073,951.6578735050207,9.682670131621208,hold_period,0.51953125,16,48,5,10,True,3
GOOGL,2024-02-20 00:00:00+00:00,2024-03-05 00:00:00+00:00,140.13176792907714,131.60925705718995,64.51363804028409,-567.3491837099755,-6.081783593996026,hold_period,0.5204749999999999,12,72,3,10,False,4
GOOGL,2024-03-05 00:00:00+00:00,2024-03-19 00:00:00+00:00,131.74093215179442,145.8544349822998,76.54756270169793,1059.1049940873054,10.713073454075417,hold_period,0.5084428571428573,14,72,3,10,True,5
GOOGL,2025-01-06 00:00:00+00:00,2025-01-22 00:00:00+00:00,196.20004074096678,197.49731705474855,51.93861186365487,46.93063668312789,0.6612008381254642,hold_period,0.63948,10,72,3,10,True,5
GOOGL,2025-01-22 00:00:00+00:00,2025-02-05 00:00:00+00:00,197.69491316986083,190.48831110382082,51.56961635420028,-391.6601637140011,-3.6453148695070547,hold_period,0.5378666666666667,12,72,3,10,False,6
TSLA,2025-01-30 00:00:00+00:00,2025-02-10 00:00:00+00:00,400.4801387786865,350.554645980835,22.908817070200048,-1160.9393001429826,-12.466409183263238,stop_loss,0.5090545454545455,11,48,5,7,False,6
GOOGL,2025-02-14 00:00:00+00:00,2025-03-03 00:00:00+00:00,184.5996389465332,166.2752954940796,54.386839206488645,-1015.6860995540737,-9.926532661183051,hold_period,0.69072,10,72,3,10,False,6
GOOGL,2025-03-03 00:00:00+00:00,2025-03-17 00:00:00+00:00,166.44165396881104,163.75562090301514,59.70994660307716,-180.0989525838504,-1.6137985905254393,hold_period,0.6334500000000001,10,72,3,10,False,6
GOOGL,2025-03-17 00:00:00+00:00,2025-03-31 00:00:00+00:00,163.91945844268798,154.1370195236206,60.51882107221348,-611.270073673797,-5.967832624634772,hold_period,0.6484454545454544,11,72,3,10,False,6
GOOGL,2025-04-16 00:00:00+00:00,2025-05-01 00:00:00+00:00,152.98418396759033,160.77534603881836,64.44512833083735,481.8821663503586,5.092789247337226,hold_period,0.6049399999999999,10,72,3,10,True,7
GOOGL,2025-05-02 00:00:00+00:00,2025-05-16 00:00:00+00:00,163.66006672668456,165.64944890594484,60.53568095850871,100.49362913330697,1.2155574777948708,hold_period,0.5187333333333333,12,72,3,10,True,7
GOOGL,2025-05-22 00:00:00+00:00,2025-06-06 00:00:00+00:00,170.4846290359497,173.11507457733154,58.171361277601825,133.02893541501544,1.5429224067039948,hold_period,0.5391545454545454,11,72,3,10,True,7
GOOGL,2025-07-10 00:00:00+00:00,2025-07-24 00:00:00+00:00,177.4339485168457,191.7768358306885,55.96801471465218,782.0789336205817,8.083507938437773,hold_period,0.55678,10,72,3,10,True,7
TSLA,2025-07-18 00:00:00+00:00,2025-08-01 00:00:00+00:00,329.8148188934326,302.4786898803711,27.095720637179937,-757.8245633142587,-8.288326493265942,hold_period,0.5043375,16,48,5,10,False,8
GOOGL,2025-07-24 00:00:00+00:00,2025-08-07 00:00:00+00:00,191.96870860290525,196.11794116973877,47.477962031779036,178.5715430461969,2.161410886717152,hold_period,0.6967687499999999,16,72,3,10,True,9
TSLA,2025-08-12 00:00:00+00:00,2025-08-26 00:00:00+00:00,341.01041633605956,351.49417842102054,29.18065829109006,285.7153390617168,3.074323124085865,hold_period,0.5664454545454546,11,48,5,10,True,9
TSLA,2025-09-09 00:00:00+00:00,2025-09-16 00:00:00+00:00,347.1434862213135,421.40918511962894,28.74742106020359,2112.85340931019,21.393372437058787,take_profit,0.5629727272727273,11,48,5,5,True,9
TSLA,2025-09-16 00:00:00+00:00,2025-09-30 00:00:00+00:00,421.83080511474606,444.4976412200928,24.158418930239147,526.6657969182979,5.373442581838228,hold_period,0.5027999999999999,11,48,5,10,True,9
TSLA,2026-01-07 00:00:00+00:00,2026-01-22 00:00:00+00:00,431.62570866394043,449.13530535888674,23.7322098330092,394.63901765830815,4.056662136540878,hold_period,0.7520999999999999,14,48,5,10,True,9
GOOGL,2026-01-08 00:00:00+00:00,2026-01-23 00:00:00+00:00,325.60272244262694,327.76602767944337,28.31077174742014,42.74746722790405,0.6644002300065566,hold_period,0.7960733333333333,15,72,3,10,True,9
TSLA,2026-01-23 00:00:00+00:00,2026-01-30 00:00:00+00:00,449.284527557373,430.19479866027837,22.896783452016148,-457.2306363974003,-4.248917495752602,end_of_backtest,0.5658733333333333,15,48,5,5,False,10
GOOGL,2026-01-26 00:00:00+00:00,2026-01-30 00:00:00+00:00,333.4266397705078,337.831,27.764502475142514,103.64773609229087,1.3209383127046115,end_of_backtest,0.7651111111111111,18,72,3,4,True,11
