ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,sentiment,news_count,lookback_hours,lead_days,days_held,win,streak
GOOGL,2025-05-28 00:00:00+00:00,2025-06-11 00:00:00+00:00,171.9712728652954,176.9871610031128,50.72776502358601,236.7429134035192,2.916701175868086,hold_period,0.66426,5,72,3,10,True,16
TSLA,2025-06-06 00:00:00+00:00,2025-06-23 00:00:00+00:00,295.2875846557617,348.50565267944336,29.041798301841048,1526.8514842106415,18.022453631337676,hold_period,0.2218625,8,48,5,10,True,16
GOOGL,2025-06-11 00:00:00+00:00,2025-06-26 00:00:00+00:00,177.16423670196534,173.1849401397705,48.62253982239844,-210.51837236318352,-2.246106006647952,hold_period,0.36712500000000003,4,72,3,10,False,17
TSLA,2025-06-25 00:00:00+00:00,2025-07-07 00:00:00+00:00,327.71376278686523,293.7930324401856,26.73982047877818,-923.653220109969,-10.35071888901432,stop_loss,0.677675,4,48,5,7,False,17
GOOGL,2025-06-26 00:00:00+00:00,2025-07-11 00:00:00+00:00,173.35821171569825,179.82136026000978,50.341181853550545,307.58305915591154,3.728204438859173,hold_period,0.76815,4,72,3,10,True,18
TSLA,2025-07-07 00:00:00+00:00,2025-07-21 00:00:00+00:00,294.0869724426269,328.32574523925786,29.373251237127864,987.4217902767268,11.642396979454972,hold_period,0.31972,5,48,5,10,True,18
GOOGL,2025-07-11 00:00:00+00:00,2025-07-25 00:00:00+00:00,180.00127157592772,192.78476972198487,48.21040599992874,598.3254693186736,7.101893244495683,hold_period,0.38963636363636367,11,72,3,10,True,18
TSLA,2025-07-21 00:00:00+00:00,2025-08-04 00:00:00+00:00,328.65423522949214,309.1053797607422,26.69281960139552,-538.8376747930852,-5.948152609413171,hold_period,0.5756333333333333,12,48,5,10,False,19
GOOGL,2025-07-25 00:00:00+00:00,2025-08-08 00:00:00+00:00,192.977650932312,201.00790524291995,45.72059954214848,349.1347857176406,4.161235392705964,hold_period,0.659275,16,72,3,10,True,20
TSLA,2025-08-04 00:00:00+00:00,2025-08-18 00:00:00+00:00,309.4146397705078,334.99242366027835,28.324873492245185,706.2347443405524,8.266507334217144,hold_period,0.7158,4,48,5,10,True,20
TSLA,2025-08-19 00:00:00+00:00,2025-09-03 00:00:00+00:00,329.474652557373,333.9229513397217,29.601230627997158,112.03773268752593,1.350118665524369,hold_period,0.5170499999999999,6,48,5,10,True,20
TSLA,2025-09-03 00:00:00+00:00,2025-09-15 00:00:00+00:00,334.25704133605956,409.8349885406494,29.211228911351704,2185.9888738274894,22.610727032853852,take_profit,0.2941090909090909,11,48,5,8,True,20
TSLA,2025-09-15 00:00:00+00:00,2025-09-29 00:00:00+00:00,410.24502854919433,442.98838645935064,24.3334035573437,775.9952688343637,7.981414918287033,hold_period,0.6154875,8,48,5,10,True,20
TSLA,2025-09-29 00:00:00+00:00,2025-10-13 00:00:00+00:00,443.4315964508056,435.68204389953615,22.687281295438897,-195.7609770937197,-1.7476320165942916,hold_period,0.3969461538461539,13,48,5,10,False,21
GOOGL,2026-01-05 00:00:00+00:00,2026-01-20 00:00:00+00:00,316.6982785491943,321.839,31.70424958497502,142.73837067474597,1.62322367976091,hold_period,0.846125,4,72,3,10,True,22
TSLA,2026-01-06 00:00:00+00:00,2026-01-21 00:00:00+00:00,433.17647145080565,431.22428244018556,20.858956261500353,-58.751122704527006,-0.4506682932435724,hold_period,0.590625,8,48,5,10,False,23
GOOGL,2026-01-20 00:00:00+00:00,2026-01-30 00:00:00+00:00,322.161,337.831,28.403471044805485,426.33632761030094,4.864027613522426,end_of_backtest,0.47576999999999997,10,72,3,8,True,24
TSLA,2026-01-22 00:00:00+00:00,2026-01-30 00:00:00+00:00,449.58466534423826,430.19479866027837,20.314562711940994,-411.76899782167493,-4.312839867239127,end_of_backtest,0.36297777777777784,18,48,5,6,False,25
