ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,sentiment,news_count,lookback_hours,lead_days,days_held,win,streak
TSLA,2024-01-02 00:00:00+00:00,2024-01-09 00:00:00+00:00,248.54420816802977,234.84252671051027,36.20683847887605,-513.5964728539984,-5.51277439072585,stop_loss,0.22647777777777778,9,48,5,5,False,1
TSLA,2024-01-09 00:00:00+00:00,2024-01-12 00:00:00+00:00,235.0774867172241,218.78055438995364,38.062514950560804,-637.5772088300819,-6.932578935929379,stop_loss,0.2611,24,48,5,3,False,1
GOOGL,2024-01-02 00:00:00+00:00,2024-01-17 00:00:00+00:00,137.2024017562866,140.33888359069826,72.88502148645368,208.3739433470746,2.2860254589296414,hold_period,0.3186833333333334,6,72,3,10,True,2
TSLA,2024-01-12 00:00:00+00:00,2024-01-24 00:00:00+00:00,218.99944438934324,207.72608683013917,40.56577703474709,-474.6229619341375,-5.147664913323702,stop_loss,0.23168333333333335,18,48,5,7,False,3
GOOGL,2024-01-17 00:00:00+00:00,2024-01-31 00:00:00+00:00,140.479292678833,138.9798680038452,64.18343374872737,-114.17487281343529,-1.0673634856745773,hold_period,0.5303384615384614,26,72,3,10,False,3
TSLA,2024-01-25 00:00:00+00:00,2024-02-08 00:00:00+00:00,182.7213198852539,189.46521755981448,49.01295455717737,312.29638841490487,3.6908105079339615,hold_period,0.21009166666666668,48,48,5,10,True,4
GOOGL,2024-01-31 00:00:00+00:00,2024-02-14 00:00:00+00:00,139.1189173965454,144.77315826416017,64.33613533081332,345.5074866528248,4.06432207310663,hold_period,0.3131354838709677,62,72,3,10,True,4
TSLA,2024-02-08 00:00:00+00:00,2024-02-23 00:00:00+00:00,189.65477755737302,191.87401622009278,47.36045993777359,87.03478462529347,1.1701464583714127,hold_period,0.23521034482758618,29,48,5,10,True,4
GOOGL,2024-02-14 00:00:00+00:00,2024-02-26 00:00:00+00:00,144.91800384521483,136.47009141540528,62.19730073445363,-542.9389299592112,-5.829442999251255,stop_loss,0.4644758620689654,29,72,3,7,False,5
TSLA,2024-02-23 00:00:00+00:00,2024-03-05 00:00:00+00:00,192.06598622131347,180.6496354904175,46.958194256748364,-553.5932678914469,-5.943973191453667,stop_loss,0.3112137931034483,29,48,5,7,False,5
GOOGL,2024-02-26 00:00:00+00:00,2024-03-11 00:00:00+00:00,136.60662977600097,136.56930020904542,65.62068864494604,-20.37558453728343,-0.02732632158245485,hold_period,0.5566357142857142,28,72,3,10,False,5
TSLA,2024-03-05 00:00:00+00:00,2024-03-13 00:00:00+00:00,180.83037549591063,169.3952557296753,49.29676405515619,-580.979391367151,-6.323671968758326,stop_loss,0.354175,20,48,5,6,False,5
GOOGL,2024-03-11 00:00:00+00:00,2024-03-25 00:00:00+00:00,136.70593782806395,148.87016879272463,65.22984152245975,774.842773889939,8.898099934737091,hold_period,0.5519869565217392,23,72,3,10,True,6
TSLA,2024-03-13 00:00:00+00:00,2024-03-27 00:00:00+00:00,169.5647357254028,179.74008683013918,52.24501991378275,513.361983686289,6.00086513342879,hold_period,0.3482861111111111,36,48,5,10,True,6
