date,equity,cash,num_positions,peak,drawdown
2024-01-02 00:00:00+00:00,100000.0,100000.0,0,100000.0,0.0
2024-01-03 00:00:00+00:00,100000.0,100000.0,0,100000.0,0.0
2024-01-04 00:00:00+00:00,99985.00249875062,89990.0,1,100000.0,-0.00014997501249380818
2024-01-05 00:00:00+00:00,99936.6398541939,89990.0,1,100000.0,-0.0006336014580610172
2024-01-08 00:00:00+00:00,100164.54569020942,89990.0,1,100164.54569020942,0.0
2024-01-09 00:00:00+00:00,100319.17185592584,89990.0,1,100319.17185592584,0.0
2024-01-10 00:00:00+00:00,100416.6396084126,89990.0,1,100416.6396084126,0.0
2024-01-11 00:00:00+00:00,100401.98299836185,89990.0,1,100416.6396084126,-0.00014595798174388275
2024-01-12 00:00:00+00:00,100443.75247803143,89990.0,1,100443.75247803143,0.0
2024-01-16 00:00:00+00:00,100432.02966862425,89990.0,1,100443.75247803143,-0.00011671018971282088
2024-01-17 00:00:00+00:00,100357.27859139716,89990.0,1,100443.75247803143,-0.0008609185190804336
2024-01-18 00:00:00+00:00,100504.57588876244,89990.0,1,100504.57588876244,0.0
2024-01-19 00:00:00+00:00,100701.012015426,100701.012015426,0,100701.012015426,0.0
2024-01-22 00:00:00+00:00,100701.012015426,100701.012015426,0,100701.012015426,0.0
2024-01-23 00:00:00+00:00,100701.012015426,100701.012015426,0,100701.012015426,0.0
2024-01-24 00:00:00+00:00,100701.012015426,100701.012015426,0,100701.012015426,0.0
2024-01-25 00:00:00+00:00,100701.012015426,100701.012015426,0,100701.012015426,0.0
2024-01-26 00:00:00+00:00,100685.90937989084,90620.84071268185,1,100701.012015426,-0.00014997501249380818
2024-01-29 00:00:00+00:00,100773.20764805122,90620.84071268185,1,100773.20764805122,0.0
2024-01-30 00:00:00+00:00,100637.6324482876,90620.84071268185,1,100773.20764805122,-0.001345349651239891
2024-01-31 00:00:00+00:00,99886.34004873355,90620.84071268185,1,100773.20764805122,-0.008800628857771886
2024-02-01 00:00:00+00:00,99956.44281833083,90620.84071268185,1,100773.20764805122,-0.008104979972185844
2024-02-02 00:00:00+00:00,100037.1260253718,90620.84071268185,1,100773.20764805122,-0.007304338522697074
2024-02-05 00:00:00+00:00,100123.10148466093,90620.84071268185,1,100773.20764805122,-0.006451180612021101
2024-02-06 00:00:00+00:00,100150.87945419402,90620.84071268185,1,100773.20764805122,-0.006175532250900173
2024-02-07 00:00:00+00:00,100246.11355881873,90620.84071268185,1,100773.20764805122,-0.005230498279595874
2024-02-08 00:00:00+00:00,100270.58399779211,90620.84071268185,1,100773.20764805122,-0.0049876714455147075
2024-02-09 00:00:00+00:00,100460.16395290113,100460.16395290113,0,100773.20764805122,-0.003106417890788915
2024-02-12 00:00:00+00:00,100460.16395290113,100460.16395290113,0,100773.20764805122,-0.003106417890788915
2024-02-13 00:00:00+00:00,100445.09743855718,90404.10154121573,1,100773.20764805122,-0.003255927018220639
2024-02-14 00:00:00+00:00,100701.00600381813,90404.10154121573,1,100773.20764805122,-0.000716476590536419
2024-02-15 00:00:00+00:00,101341.59502154065,90404.10154121573,1,101341.59502154065,0.0
2024-02-16 00:00:00+00:00,101314.31267270842,90404.10154121573,1,101341.59502154065,-0.0002692117567957286
2024-02-20 00:00:00+00:00,100962.99870469261,81354.65097694003,2,101341.59502154065,-0.003735843281009732
2024-02-21 00:00:00+00:00,101109.67157888156,81354.65097694003,2,101341.59502154065,-0.0022885316005711864
2024-02-22 00:00:00+00:00,101352.32871046232,81354.65097694003,2,101352.32871046232,0.0
2024-02-23 00:00:00+00:00,101047.1735199994,81354.65097694003,2,101352.32871046232,-0.0030108355115812113
2024-02-26 00:00:00+00:00,101043.43773228399,81354.65097694003,2,101352.32871046232,-0.003047694928261069
2024-02-27 00:00:00+00:00,101145.32195275652,81354.65097694003,2,101352.32871046232,-0.002042446980149437
2024-02-28 00:00:00+00:00,101094.76212344028,92362.37126213044,1,101352.32871046232,-0.0025412991521669426
2024-02-29 00:00:00+00:00,101227.94356749768,92362.37126213044,1,101352.32871046232,-0.0012272549091592033
2024-03-01 00:00:00+00:00,101143.42298396895,92362.37126213044,1,101352.32871046232,-0.0020611832915073958
2024-03-04 00:00:00+00:00,100900.75066612204,92362.37126213044,1,101352.32871046232,-0.0044555270716108986
2024-03-05 00:00:00+00:00,100829.34849165165,90749.94093116227,1,101352.32871046232,-0.005160021732748654
2024-03-06 00:00:00+00:00,100732.86160639623,90749.94093116227,1,101352.32871046232,-0.006112016486920058
2024-03-07 00:00:00+00:00,100959.26303036409,90749.94093116227,1,101352.32871046232,-0.003878210644977953
2024-03-08 00:00:00+00:00,101037.51357076384,90749.94093116227,1,101352.32871046232,-0.0031061460915992045
2024-03-11 00:00:00+00:00,101209.2176403958,90749.94093116227,1,101352.32871046232,-0.0014120156081992574
2024-03-12 00:00:00+00:00,101272.27336812485,90749.94093116227,1,101352.32871046232,-0.0007898717607778272
2024-03-13 00:00:00+00:00,101370.28101947276,90749.94093116227,1,101370.28101947276,0.0
2024-03-14 00:00:00+00:00,101621.75289152763,90749.94093116227,1,101621.75289152763,0.0
2024-03-15 00:00:00+00:00,101475.88198907513,90749.94093116227,1,101621.75289152763,-0.0014354298986379854
2024-03-18 00:00:00+00:00,101969.7104808148,90749.94093116227,1,101969.7104808148,0.0
2024-03-19 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-20 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-21 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-22 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-25 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-26 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-27 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-03-28 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-01 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-02 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-03 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-04 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-05 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-08 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-09 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-10 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-11 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-12 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-15 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-16 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-17 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
2024-04-18 00:00:00+00:00,101903.57763678346,101903.57763678346,0,101969.7104808148,-0.0006485538079837871
